air_FT065A.root	2.66768	1.38901	-0.490493	1.73347
air_FT065B.root	2.6661	1.38665	-0.4943	1.7349
air_FT066A.root	2.46489	1.72011	-0.687637	1.43705
air_FT066B.root	2.46547	1.71929	-0.690349	1.43908
air_FT067A.root	2.12449	1.35088	-0.9893	1.78671
air_FT067B.root	2.1253	1.35208	-0.993247	1.78612
air_FT069A.root	3.08793	1.38778	-0.0774864	1.75612
air_FT069B.root	3.08531	1.38815	-0.0756334	1.75526
air_FT070A.root	2.75399	1.78401	-0.362303	1.38321
air_FT070B.root	2.75356	1.78511	-0.365134	1.38447
air_FT094A.root	2.26079	1.33673	-0.895472	1.79609
air_FT094B.root	2.26034	1.33499	-0.896329	1.79531
air_FT095A.root	2.88836	1.80155	-0.280642	1.36945
air_FT095B.root	2.88886	1.80068	-0.276836	1.37301
